institution,type,nation,word_count,detection_raw,education_raw,detection_per_1k,education_per_1k,detection_keywords,education_keywords,framing_ratio,frame_category
University of Cambridge,Russell Group,England,230,3,12,13.04,52.17,"{'plagiarism': 0, 'detection': 0, 'misconduct': 2, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 1, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 0, 'curriculum': 0, 'learning': 2, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 1, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 1, 'understanding': 0, 'engage': 1, 'engagement': 0, 'support': 2, 'guidance': 4, 'learn': 0, 'teach': 0, 'teaching': 1, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.2,Education-dominant
University of St Andrews,Pre-1992,Scotland,2136,18,50,8.43,23.41,"{'plagiarism': 1, 'detection': 4, 'misconduct': 5, 'penalty': 0, 'penalties': 0, 'turnitin': 1, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 2, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 1, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 1, 'prohibited': 0, 'violation': 0, 'unauthorised': 2, 'unauthorized': 0, 'declare': 0, 'declaration': 1, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 1, 'pedagogy': 0, 'skill': 0, 'skills': 11, 'curriculum': 0, 'learning': 6, 'opportunity': 0, 'opportunities': 1, 'creativity': 0, 'creative': 0, 'agency': 1, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 3, 'development': 1, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 2, 'evaluate': 0, 'understand': 0, 'understanding': 1, 'engage': 0, 'engagement': 1, 'support': 8, 'guidance': 5, 'learn': 2, 'teach': 0, 'teaching': 2, 'practice': 5, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.2647058823529412,Education-dominant
University of Glasgow,Russell Group,Scotland,2407,16,45,6.65,18.7,"{'plagiarism': 2, 'detection': 0, 'misconduct': 3, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 1, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 1, 'academic integrity': 7, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 2, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 1, 'skills': 0, 'curriculum': 0, 'learning': 5, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 2, 'development': 1, 'competence': 0, 'capability': 1, 'ethical': 2, 'ethics': 0, 'responsible': 1, 'responsibility': 3, 'reflection': 2, 'reflective': 1, 'critical': 6, 'evaluate': 2, 'understand': 6, 'understanding': 3, 'engage': 1, 'engagement': 0, 'support': 1, 'guidance': 4, 'learn': 1, 'teach': 0, 'teaching': 0, 'practice': 2, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.26229508196721313,Education-dominant
University of Aberdeen,Pre-1992,Scotland,285,3,9,10.53,31.58,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 3, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 2, 'curriculum': 0, 'learning': 1, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 1, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 2, 'understanding': 0, 'engage': 0, 'engagement': 0, 'support': 0, 'guidance': 2, 'learn': 1, 'teach': 0, 'teaching': 0, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.25,Education-dominant
University of Edinburgh,Russell Group,Scotland,107,0,5,0.0,46.73,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 0, 'curriculum': 0, 'learning': 0, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 1, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 0, 'understanding': 1, 'engage': 0, 'engagement': 0, 'support': 0, 'guidance': 3, 'learn': 0, 'teach': 0, 'teaching': 0, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.0,Education-dominant
Durham University,Russell Group,England,9202,100,115,10.87,12.5,"{'plagiarism': 1, 'detection': 1, 'misconduct': 68, 'penalty': 3, 'penalties': 6, 'turnitin': 1, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 1, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 2, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 12, 'disclose': 0, 'not permitted': 4, 'not allowed': 1, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 2, 'pedagogy': 0, 'skill': 0, 'skills': 0, 'curriculum': 0, 'learning': 29, 'opportunity': 0, 'opportunities': 0, 'creativity': 1, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 1, 'competence': 0, 'capability': 0, 'ethical': 15, 'ethics': 1, 'responsible': 4, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 2, 'evaluate': 1, 'understand': 2, 'understanding': 7, 'engage': 5, 'engagement': 5, 'support': 2, 'guidance': 25, 'learn': 1, 'teach': 0, 'teaching': 1, 'practice': 9, 'practices': 2, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.46511627906976744,Balanced
University of London,Pre-1992,England,4467,7,165,1.57,36.94,"{'plagiarism': 1, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 1, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 2, 'collusion': 0, 'unfair': 1, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 1, 'violation': 0, 'unauthorised': 1, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 6, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 5, 'curriculum': 0, 'learning': 17, 'opportunity': 0, 'opportunities': 8, 'creativity': 1, 'creative': 2, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 2, 'empower': 1, 'develop': 7, 'development': 6, 'competence': 0, 'capability': 0, 'ethical': 17, 'ethics': 6, 'responsible': 6, 'responsibility': 4, 'reflection': 0, 'reflective': 0, 'critical': 6, 'evaluate': 3, 'understand': 6, 'understanding': 5, 'engage': 4, 'engagement': 4, 'support': 12, 'guidance': 9, 'learn': 1, 'teach': 0, 'teaching': 10, 'practice': 7, 'practices': 10, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.040697674418604654,Education-dominant
University of Birmingham,Russell Group,England,3072,14,75,4.56,24.41,"{'plagiarism': 5, 'detection': 0, 'misconduct': 4, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 4, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 1, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 3, 'pedagogy': 0, 'skill': 3, 'skills': 11, 'curriculum': 0, 'learning': 6, 'opportunity': 1, 'opportunities': 0, 'creativity': 0, 'creative': 1, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 5, 'development': 1, 'competence': 0, 'capability': 0, 'ethical': 3, 'ethics': 1, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 1, 'critical': 5, 'evaluate': 4, 'understand': 4, 'understanding': 4, 'engage': 1, 'engagement': 0, 'support': 4, 'guidance': 7, 'learn': 2, 'teach': 0, 'teaching': 2, 'practice': 6, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.15730337078651685,Education-dominant
University of Liverpool,Russell Group,England,2596,25,53,9.63,20.42,"{'plagiarism': 1, 'detection': 0, 'misconduct': 5, 'penalty': 1, 'penalties': 3, 'turnitin': 0, 'contract cheating': 0, 'breach': 1, 'disciplinary': 2, 'sanction': 0, 'sanctions': 1, 'suspicious': 0, 'investigation': 0, 'academic integrity': 6, 'collusion': 0, 'unfair': 2, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 3, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 1, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 2, 'curriculum': 1, 'learning': 2, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 1, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 1, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 2, 'ethics': 0, 'responsible': 0, 'responsibility': 2, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 1, 'understand': 1, 'understanding': 3, 'engage': 2, 'engagement': 1, 'support': 3, 'guidance': 13, 'learn': 0, 'teach': 0, 'teaching': 3, 'practice': 14, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.32051282051282054,Education-dominant
University of Sheffield,Russell Group,England,522,0,41,0.0,78.54,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 1, 'critical thinking': 1, 'pedagogy': 0, 'skill': 0, 'skills': 8, 'curriculum': 0, 'learning': 4, 'opportunity': 0, 'opportunities': 1, 'creativity': 1, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 2, 'development': 1, 'competence': 0, 'capability': 0, 'ethical': 1, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 3, 'evaluate': 0, 'understand': 3, 'understanding': 0, 'engage': 0, 'engagement': 1, 'support': 6, 'guidance': 1, 'learn': 4, 'teach': 0, 'teaching': 3, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.0,Education-dominant
