institution,type,nation,word_count,date_accessed,policy_url,text
University of Cambridge,Russell Group,England,230,2026-02-16,https://www.educationalpolicy.admin.cam.ac.uk/plagiarism-and-academic-misconduct/artificial-intelligence-ai,"Artificial Intelligence (AI)
Students are permitted to make appropriate use of artificial intelligence tools to support their personal study, research and formative work. Where doing so, it is recommended that you discuss this with your supervisor or lecturer to understand how best to engage with these tools whilst still benefiting from the educational experience as intended.
A student using any unacknowledged content generated by artificial intelligence within a summative assessment as though it is their own work constitutes academic misconduct, unless explicitly stated otherwise in the assessment brief.
We encourage staff to clearly communicate their expectations to students and encourage use of available guidance where relevant and useful. If you have any concerns regarding the potential use of artificial intelligence, please discuss this with your supervisor or lecturer to ensure you have the most relevant and up to date information.
The University is continuing to develop guidance materials to support staff and students in the effective and appropriate use of Artificial Intelligence tools and Large Language Models:
AI and Education guidance
.
If you have any questions or concerns regarding Artificial Intelligence or how to approach the use of it within teaching & learning, please contact the Blended Learning Service:
info@blendedlearning.cam.ac.uk
Guidance for staff on '
How to investigate and sanction suspected academic misconduct
' (Artificial Intelligence is covered on Page 4) can be found on the
Student Complaints
website."
University of St Andrews,Pre-1992,Scotland,2136,2026-02-16,https://www.st-andrews.ac.uk/policy/academic-policies-assessment-examination-and-award-good-academic-practice/generative-ai-faqs-students-guidance.pdf,"Generative AI – FAQs for students
Document type Guidance
Scope (applies to) Staff and students
Applicability date 28/01/2025
Review / Expiry date 31/01/2028
Approved date 28/01/2025
Approver Learning and Teaching Committee
Document owner Administrative Officer – Education and Student
Experience
School / unit Education and Student Experience
Document status Published
Information classification Public
EDI review/Equality impact
None
assessment
Key terms
Purpose Guidance and FAQ around use of Generative
AI
Version Purpose / changes Document Author of Date
number status changes, role
and school /
unit
1 New Guidance Uploaded Administrative January 2025
Document approved by Officer
LTC (Education and
Student
Experience)
The University of St Andrews is a charity registered in Scotland, No: SC013532

UNIVERSITY OF ST ANDREWS
GENERATIVE AI – FAQs FOR STUDENTS
1. What is generative AI?
o It is artificial intelligence (AI) technology that actively generates content based on patterns
learned from existing data in response to prompts.
2. How can I access AI tools?
o AI tools are available in an open format online, such as ChatGPT, DALL-E, Claude
o They are provided by online platforms, such as Google Cloud AI
o They are accessible via software, such as Microsoft Co-Pilot.
o The University’s provided AI tool is Microsoft Copilot. This is available to all staff and
students, with ‘Commercial Data Protection’ services enabled.
3. What is St Andrews’ standpoint on the use of generative AI for assessment?
o The University is committed to upholding academic integrity, including the prevention of the
misuse of Generative AI.
o Skills in selectively utilising Generative AI as a resource will be required by our graduates.
o The University recognises that there are academically justifiable applications of Generative
AI in the process of educational research and enquiry.
o The University acknowledges that AI offers students exciting opportunities to develop their
academic, employability and life skills, and we are committed to support them to use this
technology ethically.
o The University prides itself on developing students with excellent skills in research
techniques, project planning, design, and critical thinking. These skills are core to a
graduate’s education and cannot be replaced by AI use. Students should be aware of the
many risks associated with using Generative AI – see Question 9 below.
o While students may choose to use Generative AI to generate notes, study aids, or other
materials that they consider helpful in their learning, this type of usage may not be allowed
in specific modules, so students should always check the relevant School or module
handbook. Even when this type of usage is allowed, students should be mindful that they
are still expected to develop relevant study skills they can employ independently of AI
tools.
4. Can Students use AI to produce assessed work?
o Students should not use Generative AI for the preparation and presentation of assessed
work unless authorised explicitly by the module co-ordinator. If AI use is permitted, the
extent to which it can be used in assessment will be clearly outlined in the module
handbook.
o If AI has been used, this should be clearly declared by the student on an assessment
coversheet.
5. How does the Good Academic Practice policy address the use of AI?
The University of St Andrews is a charity registered in Scotland, No: SC013532

o The Good Academic Practice Policy states that Unauthorised use of AI is a type of
academic misconduct.
o Using AI is considered academic misconduct when a student presents the output of an AI
technology, such as a large language model (LLM) or paraphrasing application, as their
own work without acknowledgment in all situations.
o The University’s position regarding students who submit content produced by Generative AI
as their own work is identical to that of any type of plagiarism.
▪ If a module does not allow Generative AI at all, then any use would be considered a
case of Unauthorised Use of AI and, therefore, academic misconduct.
▪ If a module does not prohibit the use of Generative AI, and yet a student submits
content produced by Generative AI as their own work without acknowledgement, this
will also be considered academic misconduct.
6. How can I maintain academic integrity when using AI?
o You should only use AI for assessment when you are permitted to by the module co-
ordinator.
o If AI use is authorised, it must be cited.
o If AI use is authorised, all prompts used should be retained for reference and should be
available to the module co-ordinator on request.
o AI should not be used as a substitute for your own work.
7. How do I acknowledge use of generative AI?
o You should include a declaration statement along with your references stating the AI tool
used, describing how you used it, and indicating the date you accessed it.
o Further requirements may be stipulated by a School, academic programme, or individual
member of teaching staff, or for a particular assignment, and will be made clear when an
assignment is set.
8. How may AI assist me in my studies?
o It can help automate routine tasks, e.g., scheduling, task prioritisation, note management
o It can help improve your time management skills, e.g. you could experiment with asking AI
to design a study plan.
o It may help with notetaking and summarisation. Where summation is required as part of
formative or summative assessment, AI should only be used with the express permission of
the module co-ordinator.
o It can create practice learning exercises.
o It may help practice your evaluation skills by assessing the quality of arguments given, e.g.
some people find it helpful to ask a Generative AI based chatbot to critique their own
writing.
o It may be used to proof-read for grammatical errors, as directed by your module co-
ordinator.
o It may be used to suggest improvements to your writing, as directed by your module co-
ordinator.
o It may help explain terms or key concepts in different ways to suit your own individual
learning style.
o It may help you to learn new skills.
9. What are the risks of using AI in my academic work?
The University of St Andrews is a charity registered in Scotland, No: SC013532

o AI produced content is plagiarised content, and is not your own work, if it is not cited.
o As AI generates content from existing data, it can re-produce content copied from other
sources.
o There are risks of copyright infringements on pictures and other copyrighted material.
o AI can generate incorrect data, produce “hallucinations” and out of date data.
o AI summarisation is not always correct and should always be checked for accurateness.
o AI can reproduce biased data.
o The energy required for AI data processing and storage is damaging to the environment, as
this uses excessive amounts of electricity and water, as well as rare minerals.
o AI use may hinder a student’s independent thought and problem-solving skills.
o AI may capture data from input prompts, so it is important not to submit personal or
sensitive information to an AI tool. The University Data Protection Policy can be accessed
here.
o A reliance on Generative AI could impact your ability to develop important skills, including
those associated with research design and critical engagement. It may also hinder the
development of skills important in situations where AI is not available, e.g. in an exam
setting.
10. How do I know that I am using AI?
In most cases, you would deliberately log into AI software (e.g. Co-pilot) and type in your
prompt. However, there is now software available (e.g. Grammarly) which uses AI, embedded
into it, so you may not be immediately aware that AI is underlying the functions of the
software.
Here are some tips to help you identify if software uses AI:
• Check the Software’s Website: Look for mentions of AI, machine learning, or natural
language processing. These terms often indicate AI usage.
• Read Reviews and Articles: Reviews and tech articles can provide insights into whether a
software uses AI.
• Look at Features: Features like predictive text, automated suggestions, and real-time
feedback are often powered by AI.
• Contact Support: If in doubt, reach out to the software’s customer support for clarification.
• University Resources: Consult IT guidelines – See https://www.st-andrews.ac.uk/it-
support/services/software/students/
11. How can I determine if AI is allowed in my assessments?
o Read your School and module handbook and ask your module co-ordinator if AI use is
permitted prior to starting your assessment.
12. Can I use Grammarly in my assessments?
o Grammarly has optional Generative AI features that aid the production of new content
based on a series of prompts. These features should be disabled when writing
assessments unless expressly permitted by your module co-ordinator or permitted as a
reasonable adjustment by the Disability Team in Student Services.
13. Is AI detection software used at St Andrews?
o No. Whilst Turnitin has developed AI-detection, this has not currently been
switched on at the University of St Andrews due to concerns over accurate detection. The
Quality Assurance Agency (QAA) advised that universities should ‘be cautious in your use
The University of St Andrews is a charity registered in Scotland, No: SC013532

of tools that claim to detect text generated by AI and advise staff of the institutional
position. The outputs from these tools are unverified and there is evidence that some text
generated by AI evades detection’.
14. How can AI support disabled students?
o AI tools can provide support for students with physical, visual and auditory impairments
o ‘Use of AI’ is not a standard adjustment included in Student Support Plan, but it can be
included should a student request this. Disability Advisers ensure that a student’s support
plan is needs-led. If a student has information to suggest AI is needed due to their disability
this can be discussed with their Disability Adviser.
o Examples of where AI may be permitted includes for students with Specific Learning
Difficulties (SpLD) who may use AI to proofread their work. In such instances, the student
should keep the original copies of their own work and drafts, where they haven’t used AI.
Students with SpLDs may use generative AI to re-draft and improve sentence structure and
phrasing and then combine the two in a finished piece of writing.
o The Scholarcy AI summarisation tool can help with condensing articles/reports/chapters
into short summaries, this is helpful for students with SpLDs/ Autism spectrum disorder and
underlying medical conditions like chronic fatigue or chronic migraines, where students may
need to work in short bursts and take frequent breaks from screens.
o For visual or hearing impairments, one common problem is taking notes. Glean, a note-
taking piece of software, has in-built AI that can record, caption & transcribe lecture content.
It can also provide ‘Question cards’ after a lecture, generated from this content.
o Software recommended through Disabled Student Allowance may have AI embedded in it,
without you realising (Glean, Grammarly, Scholarcy). If you have been recommended this
software as a reasonable adjustment, you may use it to adjust your work. You should not
use Grammarly to generate content unless explicitly allowed to do so in your assignment
guidance.
15. What should PGR students consider before using AI?
o PGR students considering the use of Generative AI should discuss and agree appropriate
scope, boundaries, and applications with their supervisor at the start of the project or before
commencing usage.
o Any Generative AI usage should also be highlighted during the annual review process and
discussed with the review committee.
o Any use of Generative AI should be acknowledged.
▪ a) AI use should be cited, and any prompts used, and responses received should be
reported in an appendix. It is expected that Generative AI, even when used, will be
applied only to specific sentences or paragraphs, and not used more broadly to
contribute to the thesis. Extensive usage will still be considered poor academic practice
or academic misconduct and investigated accordingly.
▪ b) Use of AI specifically for language correction should be acknowledged in the same
way as any other assistance with writing is acknowledged as per the Language
Correction policy. If Generative AI forms an integral part of the research conducted or
thesis production (e.g., a Computer Science thesis), a methodological statement must be
included in the thesis.
16. How can I learn more about AI?
o IELLI Workshop - Understanding and using AI at University is available through PDMS
The University of St Andrews is a charity registered in Scotland, No: SC013532

Version Purpose / changes Document Author of Date
number status changes, role
and school /
unit
1 New Guidance Uploaded Administrative January 2025
Document approved by Officer
LTC (Education and
Student
Experience)
The University of St Andrews is a charity registered in Scotland, No: SC013532"
University of Glasgow,Russell Group,Scotland,2407,2026-02-16,https://www.gla.ac.uk/myglasgow/sld/ai/students/,"What is the University of Glasgow's position on AI?
The University of Glasgow believes artificial intelligence (AI) tools are potentially transformative as well as disruptive. They increasingly feature in academic and professional workplaces.
You will graduate into an AI-augmented world. The university therefore has a responsibility to prepare you for this world, providing space to experiment with, and understand the potential of, AI in an ethical way.
Consequently,
rather than seek to prohibit your use of these tools, we want to support you in learning how to use them effectively, ethically, critically, and transparently.
For advice, classes, and 1:1 appointments to develop your academic writing, visit the Student Learning Development team
www.gla.ac.uk/SLD
Are you a PhD student or researcher?
AI Guidance for Researchers
Quick Guidance for Students
The term 'AI tools' is currently used to refer to a range of tools and resources (not just ChatGPT), which range from being unsuitable for any academic work to being helpful when used appropriately and with academic integrity.
Using machine learning, AI tools can produce human-like text, images, and information, and can respond to specific queries. Tools that can replicate and create the complex responses and behaviours of humans are referred to as '
generative AI
'. There are also many computational aids that are used for similar purposes.
It is important to note that using any form of AI or other computational aids in your university coursework, study, exams, or research without acknowledging that input counts as academic misconduct.
Don't
a
ssume that all AI tools are equally
effective,
equally responsible, equally r
esourceful, and equally capable of being used with academic integrity
.
AI tools replicate biased results, and do not
provide
contextualised,
evaluated
or critiqued evaluation of information.
p
ay for AI services or tools; your courses will never require you to pay for external software
.
u
se AI tools as a replacement for your own understanding, analysis
,
or summary of a topic
.
r
ely on AI to produce references, resources
,
materials
or
any
other
forms of
content
. AI
is liable to
produce 'hallucinations'
where it can make up
false
information and references.
upload full copies of your work
, essay questions,
reports,
results
,
and discussion into any AI tool. AI tools
should not be used to conduct research or
investigation
into a topic
. If your lecturers want you to use AI for specific activites, they will provide guidance on what is allowed or expected, and what is not.
Do
a
cknowledge
the
use of any form of AI in your coursework
for
all
submission
s
.
q
uestion the validity
and accuracy
of any output
, data, results
,
and information
you receive from AI tools
.
e
nsure that all
your submissions
are
the result of your own
thought,
workings,
analysis
,
and critique
.
k
eep up to date with your course guidelines and information around academic integrity and AI
.
Pay
p
articular
attention
to
your marking criteria and ILOs; it is your responsibility to
demonstrate
how you
meet these.
b
e aware of how research AI tools
are advertised:
they'll
often
promise
time
-management and efficiency
benefits
but
will
in practice
break academic integrity
rules
.
Continue reading below for more detailed information on the University of Glasgow's policies about what is allowable, what is forbidden, and how we advise that you use AI in your studies.
Introduction to Artificial Intelligence (Al)
Artificial Intelligence (AI) is the work of computers to mimic, replicate and create the complex responses and behaviours of humans. Using machine learning, AI can produce human-like text, images and information, and it can respond to specific queries.
The availability of a variety of AI platforms is rapidly changing. Various tools are available, but as the technology grows there will be increased competition amongst and change within sector-leading platforms. The platforms that produce text are more accurately known as Large Language Models (LLM), but 'AI' is more commonly used to describe these tools.
For University-level study and research, AI and its many uses pose a challenge to how we prove our learning for assessment in a way that has integrity and merit.
The key element of AI is its ability to mimic human-like responses to queries, questions and interrogations. The responses are, however, replications of human-like output and are prone to errors or misunderstandings.
AI has limited ability to critique, evaluate or prioritise information, and will often present such output in a superficial way
.
More significantly,
AI tools have limited capability to fact-check.
Some have access to the internet, while others do not. For those that do, they may be able to recognise words as being relevant, but their ability  so as a result, AI can often produce results that are factually incorrect. You should
never
rely on AI to produce accurate, truthful, critical or reflective information, results of analysis.
Using any form of AI in your university work or research
without acknowledging that input
counts as academic misconduct.
The information below is presented as a way of ensuring you engage with AI in an ethical, transparent manner. This guidance does not prohibit the use of AI in your research and writing process; instead, it outlines how the University of Glasgow believes you can make use of the strengths of AI while maintaining good academic practice, rigour and integrity in your submitted work.
Academic Integrity
The University of Glasgow’s position on the inappropriate use of AI in research and writing is clear. University policy is that all students are marked and assessed 'in recognition of a student's personal achievement. All work submitted by students for assessment is accepted on the understanding that it is the student's own effort'.
Work that is therefore not your own effort – in other words, work submitted that is the result of the work of AI – does not meet this crucial requirement for our assessments.
The University Regulations on plagiarism define it as:
'the submission or presentation of work, in any form, which is not one's own, without acknowledgement of the sources' (
Plagiarism Statement - see section 32.2
)
As with all pieces of assessment submitted, then, we expect that your work is a reflection of your own effort. We discuss below some of the ways in which AI can be of benefit to the research and writing process, but it is your responsibility to ensure that the work submitted is a true reflection of your effort.
That is to say, all your submitted work must be of your own creation, your own critical evaluation process, and your own experience. We expect your submitted work to clearly and transparently acknowledge any sources – including AI – that have helped you reach your conclusion or that have added to the work in any way.
The fundamental rule with AI and academic integrity is this:
If you make use of AI at any point in your research or writing process, you must acknowledge the use of that tool as you would any other piece of evidence or material in your submission.
We strongly recommend, however, that you treat AI with caution. AI tools do not 'know' the meaning of what they produce, can only simulate the act of being critical, and are prone to biases, inaccuracies and mistakes.
As a student graduating with a University of Glasgow degree
, critical analysis is a key skill that you should develop. It is a core part of what we assess in you in your final year exams, and it is a fundamental part of what future employers or research supervisors will expect you to be capable of as a graduate.
Using AI for study, research and writing – without breaking our academic integrity rules
If we use any form of AI, it must be with the understanding that it does not understand what things mean. This is an important first step in engaging with AI in a successful way.
The difference between our intelligence and AI is, to put it simply: we understand meanings, contexts, what things say and do, and the connections between different pieces of information. AI cannot do this.
AI platforms can, however, help us with some of the steps of our work process. So, what can AI do?
AI can provide a quick summary of information.
AI can provide details on large volumes of information in a quick time period, but there are dangers involved here around inaccuracies and made-up information.
If using AI in this way, think of it as the first step. The second step is to check for accuracy, critique the outputs, and ensure you never rely simply on the original outputs.
AI can identify key points in texts
AI can produce output of key points in text by scanning the language therein. This can be a useful starting point with reading.
If using AI in this way, again think of it as a first step. AI does not understand what the text means, and it cannot therefore critique or evaluate any of its outputs. It uses language models to predict outputs based on the highest probability of the next word. So, when identifying key points in texts, AI uses this probability method to display key points based on the words used in the text.
As with abstracts for academic journal articles, be aware that a short summary loses much of the nuance, subtlety, counterpoint and critique within a whole piece of reading, so make sure to also read fully to confirm (or otherwise) what the brief summary gave you for your starting point.
AI can help you refine your wording
Think of AI here as a kind-of conversation partner: you can ask it to rework some writing to enhance clarity. You can ask it to refine the output to make the text more simplistic, more complex, longer, shorter, and so on.
Do not enter entire essays or paragraphs; use the method to help improve the language of words, phrases or individual sentences. You must ask the tool to offer you an explanation of why it has made the suggestions that it has so that you can use this advice to learn how to improve your own writing the first time around in the future. AI tools commonly use more adjectives or adverbs than would be suitable for an academic essay, even if your prompt asks specifically for a response in an academic tone, so make sure that you are happy with any suggestions before adapting them into your own piece of work. Again: do not create entire paragraphs from individually AI-constructed sentences; the work must be your own.
Importantly, however, you must remember that AI uses predictions of the
most likely
next word based on what has been found in the material used to train whichever tool you are using. This is all it is doing: it simulates human responses, and it does not have the true intelligence capacity to understand
why
things might be right, might be wrong, might be stronger, or might be weaker.
Separately from AI, there are plenty of other digital tools that can help with your academic work. These resources and tools do not mimic human language in the way AI does, but they are powerful and useful tools. EndNote, for example, helps you catalogue your references and resources, while software like ResearchRabbit, Google Scholar, etc., can help with searching for resources.
Use of these digital tools is a part of modern-day study. If you have questions about using digital tools for study or research,
you can speak with SLD by making a one-to-one appointment
.
AI: Important Limitations, Important Problems
Current AI tools are limited in the capacity to create meaning that is true, accurate, critical and responsive. You must judge any outputs from AI tools with scepticism, suspicion and a critical eye.
Key problems with AI include:
AI gets things wrong.
AI will produce incorrect (and sometimes nonsensical) outputs.
AI does not know right/correct from wrong, and will present all outputs as if they are equally valid and true.
AI is biased.
AI tools reflect, prioritise and enhance biases and stereotypes.
AI is not rational and does not understand the complexities around the information available on the internet. It therefore cannot judge inaccurate, offensive statements.
AI makes things up.
Called 'hallucinations', some AI tools will make up false references to texts that do not exist. While these references often
look
to be real, a quick search will reveal that the supposed reference or data does not exist.
This is because AI tools are simply predicting the most likely next word each time – think of it like asking your phone to write a sentence based on clicking the next autocorrect word each time.
AI tools cannot access all the necessary data and information.
AI tools cannot access anything behind a paywall.
For your academic work, the University Library subscribes to a massive collection of academic texts. AI cannot access these paid resources, and so it does not have the ability to reproduce any information from those texts.
Many AI tools also do not have access to the current state of the internet, and therefore will not be trained on the most recent information.
How should I reference Artificial Intelligence?
The current consensus on how to reference any use of AI is to treat it as if it were private correspondence.
The reasons for this are:
Like private correspondence, the prompts and responses you enter into and receive from AI are unique to you
Like private correspondence, AI is a problematic source as it cannot be easily replicated and verified
Like private correspondence, each prompt and response session with AI is time-bound, specific and unique to that moment in time.
The specific rules for many referencing styles are still to be finalised, but the general rules are:
Name the AI platform used (e.g. ChatGPT, Claude)
Include details on the date of use of AI
Ideally, include details on the prompts input (and, if possible, the responses received)
Include details of the person who input the prompts
Keep records of the responses output by AI, even if you do not include these in the submission itself
Be clear, open and transparent in your use of AI
Do not
present any of the responses from AI as your own writing, thought or work. This constitutes academic misconduct, which could lead to disciplinary measures being taken against you."
University of Aberdeen,Pre-1992,Scotland,285,2026-02-16,https://www.abdn.ac.uk/toolkit/skills/gen-ai/,"Generative AI
Introduction to Generative AI
Gen AI in 2 mins
Thriving in the Age of AI
Google Introduction to AI
Generative artificial intelligence (Gen AI) is a type of technology that can produce various high-quality outputs using algorithms. This is done by learning patterns from huge datasets and then autonomously producing new content based on those datasets.
Gen AI is already profoundly changing business and industry, and it's important to understand what is meant by ""Generative AI"" and how we can best use this technology. You can find free courses in the Links section of this resource, and student guidance in the Guides section.
If you need to know more about guidelines related to using Gen AI in University assignments, please see our
Academic Integrity & Referencing resource
, or the
Academic Integrity Homepage
.
For more information about incorporating AI to empower learners, please visit the
Gen AI page
on Staffnet or explore
resources provided by JISC
.
Related resources |
Academic Integrity & Referencing
|
FutureLearn
|
Programming
Last updated on 16 December 2025
Guides
Info
Links
Guides
Student Guidance: Use of Gen AI tools in Education
Acknowledging and Citing the user of GenAI
Information
This resource was provided by Toolkit.
Made in association with staff and students, Toolkit is your digital companion for University. The video-first platform delivers engaging content in bite-sized resources, so that you can get the information you need to get back to your work, research or studies.
Learn new digital skills, understand university software, discover useful apps and explore University services.
Email us
Visit website
Links
Google Cloud Skills Boost: Generative AI Course (free course)
Microsoft AI for Beginners (free course)
JISC - Artificial Intelligence in Education"
University of Edinburgh,Russell Group,Scotland,107,2026-02-16,https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidelines-for-students,"Generative AI Guidelines for Students
This page provides clear, practical advice to help students use generative AI responsibly and effectively in their academic work. You’ll find guidance on when and how AI tools can be helpful, what ethical considerations to keep in mind, and how to ensure your work reflects your own voice and understanding.
Using generative AI in your studies: guidelines for students
General guidance for all students on using generative AI tools in your studies.
Generative AI Guidelines for Postgraduate Research Students
Specific guidance on generative AI use aimed at Postgraduate Research Students.
Return to the main ELM page
This article was published on
2025-09-24"
