institution_name,category,subcategory,nation,russell_group,notes
University of Oxford,Pre-1992,Ancient,England,Yes,Founded c. 1096
University of Cambridge,Pre-1992,Ancient,England,Yes,Founded 1209
University of St Andrews,Pre-1992,Ancient,Scotland,No,Founded 1413
University of Glasgow,Pre-1992,Ancient,Scotland,Yes,Founded 1451
University of Aberdeen,Pre-1992,Ancient,Scotland,No,Founded 1495
University of Edinburgh,Pre-1992,Ancient,Scotland,Yes,Founded 1583
Durham University,Pre-1992,Ancient,England,Yes,Founded 1832
University of London,Pre-1992,Ancient,England,No,Founded 1826; federal university
Queen's University Belfast,Pre-1992,Redbrick,Northern Ireland,Yes,Founded 1845
University of Manchester,Pre-1992,Redbrick,England,Yes,Founded 1824
University of Birmingham,Pre-1992,Redbrick,England,Yes,Founded 1825
University of Liverpool,Pre-1992,Redbrick,England,Yes,Founded 1881
University of Leeds,Pre-1992,Redbrick,England,Yes,Founded 1874
University of Sheffield,Pre-1992,Redbrick,England,Yes,Founded 1828
University of Bristol,Pre-1992,Redbrick,England,Yes,Founded 1876
University of Nottingham,Pre-1992,Redbrick,England,Yes,Founded 1881
University of Southampton,Pre-1992,Redbrick,England,Yes,Founded 1862
University of Exeter,Pre-1992,Redbrick,England,Yes,Founded 1855
University of Leicester,Pre-1992,Redbrick,England,No,Founded 1921
University of Reading,Pre-1992,Redbrick,England,No,Founded 1892
Newcastle University,Pre-1992,Redbrick,England,Yes,Founded 1834
Cardiff University,Pre-1992,Redbrick,Wales,Yes,Founded 1883
Swansea University,Pre-1992,Redbrick,Wales,No,Founded 1920
Aberystwyth University,Pre-1992,Pre-1992 Other,Wales,No,Founded 1872
Bangor University,Pre-1992,Pre-1992 Other,Wales,No,Founded 1884
University of Dundee,Pre-1992,Pre-1992 Other,Scotland,No,Founded 1881
University of Hull,Pre-1992,Pre-1992 Other,England,No,Founded 1927
Keele University,Pre-1992,Plate Glass,England,No,Founded 1949
University of Sussex,Pre-1992,Plate Glass,England,No,Founded 1961
University of East Anglia,Pre-1992,Plate Glass,England,No,Founded 1963
University of York,Pre-1992,Plate Glass,England,Yes,Founded 1963
Lancaster University,Pre-1992,Plate Glass,England,No,Founded 1964
University of Essex,Pre-1992,Plate Glass,England,No,Founded 1964
University of Warwick,Pre-1992,Plate Glass,England,Yes,Founded 1965
University of Kent,Pre-1992,Plate Glass,England,No,Founded 1965
University of Bath,Pre-1992,Former CAT,England,No,Founded 1966; formerly Bristol CAT
University of Surrey,Pre-1992,Former CAT,England,No,Founded 1966; formerly Battersea CAT
Aston University,Pre-1992,Former CAT,England,No,Founded 1966; formerly Birmingham CAT
Brunel University London,Pre-1992,Former CAT,England,No,Founded 1966; formerly Acton CAT
Loughborough University,Pre-1992,Former CAT,England,No,Founded 1966; formerly Loughborough CAT
