institution,type,subcategory,nation,policy_url,policy_format,date_published,date_accessed,has_policy,notes
University of Oxford,Russell Group,Ancient,England,https://www.ox.ac.uk/students/academic/guidance/skills/ai-study,html,,,no,URL did not contain AI policy content
University of Cambridge,Russell Group,Ancient,England,https://www.educationalpolicy.admin.cam.ac.uk/plagiarism-and-academic-misconduct/artificial-intelligence-ai,html,,2026-02-16,yes,
University of St Andrews,Pre-1992,Ancient,Scotland,https://www.st-andrews.ac.uk/policy/academic-policies-assessment-examination-and-award-good-academic-practice/generative-ai-faqs-students-guidance.pdf,pdf,,2026-02-16,yes,
University of Glasgow,Russell Group,Ancient,Scotland,https://www.gla.ac.uk/myglasgow/sld/ai/students/,html,,2026-02-16,yes,
University of Aberdeen,Pre-1992,Ancient,Scotland,https://www.abdn.ac.uk/toolkit/skills/gen-ai/,html,,2026-02-16,yes,
University of Edinburgh,Russell Group,Ancient,Scotland,https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidelines-for-students,html,,2026-02-16,yes,
Durham University,Russell Group,Ancient,England,https://www.durham.ac.uk/media/durham-university/departments-/common-awards/documents/AI-Policy-and-Guidance.pdf,pdf,,2026-02-16,yes,
University of London,Pre-1992,Ancient,England,https://www.london.ac.uk/sites/default/files/artificial-intelligence-policy-uol.pdf,pdf,,2026-02-16,yes,
Queen's University Belfast,Russell Group,Redbrick,Northern Ireland,https://www.qub.ac.uk/directorates/AcademicStudentAffairs/CentreforEducationalDevelopment/Frontpageredesign/News/GuidanceontheuseofAIinAssessments.html,html,,,no,URL did not contain AI policy content
University of Manchester,Russell Group,Redbrick,England,https://documents.manchester.ac.uk/DocuInfo.aspx?DocID=71256,html,,,no,URL did not contain AI policy content
University of Birmingham,Russell Group,Redbrick,England,https://intranet.birmingham.ac.uk/student/libraries/asc/student-guidance-gai.aspx,html,,2026-02-16,yes,
University of Liverpool,Russell Group,Redbrick,England,https://www.liverpool.ac.uk/media/livacuk/centre-for-innovation-in-education/digital-education/generative-ai-teach-learn-assess/guidance-on-the-use-of-generative-ai.pdf,pdf,,2026-02-16,yes,
University of Leeds,Russell Group,Redbrick,England,https://generative-ai.leeds.ac.uk/,html,,,no,URL did not contain AI policy content
University of Sheffield,Russell Group,Redbrick,England,https://sheffield.ac.uk/study-skills/digital/generative-ai,html,,2026-02-16,yes,
University of Bristol,Russell Group,Redbrick,England,https://www.bristol.ac.uk/students/support/academic-advice/using-artificial-intelligence/,html,,2026-02-16,yes,
University of Nottingham,Russell Group,Redbrick,England,https://www.nottingham.ac.uk/studyingeffectively/studying/ai.aspx,html,,,no,URL did not contain AI policy content
University of Southampton,Russell Group,Redbrick,England,https://www.southampton.ac.uk/about/governance/regulations-policies/policies/using-gen-ai-during-your-studies,html,,2026-02-16,yes,
University of Exeter,Russell Group,Redbrick,England,https://libguides.exeter.ac.uk/AI,html,,,no,URL did not contain AI policy content
University of Leicester,Pre-1992,Redbrick,England,https://le.ac.uk/-/media/uol/docs/policies/quality/ai-policy.pdf,pdf,,2026-02-16,yes,
University of Reading,Pre-1992,Redbrick,England,https://www.reading.ac.uk/essentials/Study/ai/using-generative-ai-tools-at-university,html,,2026-02-16,yes,
Newcastle University,Russell Group,Redbrick,England,https://www.ncl.ac.uk/academic-skills-kit/good-academic-practice/artificial-intelligence/,html,,2026-02-16,yes,
Cardiff University,Russell Group,Redbrick,Wales,https://blogs.cardiff.ac.uk/LTAcademy/ai-in-education-at-cardiff-university/,html,,2026-02-16,yes,
Swansea University,Pre-1992,Redbrick,Wales,https://hwb.swansea.ac.uk/academic-life/academic-regulations/other-university-regulations/ai-framework-students/,html,,2026-02-16,yes,
Aberystwyth University,Pre-1992,Pre-1992 Other,Wales,https://www.aber.ac.uk/en/is/regulations/ai/,html,,2026-02-16,yes,
Bangor University,Pre-1992,Pre-1992 Other,Wales,https://www.bangor.ac.uk/regulations/documents/artificial-intelligence-software-assessment-en.pdf,pdf,,,no,URL did not contain AI policy content
University of Dundee,Pre-1992,Pre-1992 Other,Scotland,https://www.dundee.ac.uk/corporate-information/use-generative-artificial-intelligence-students,html,,,no,URL did not contain AI policy content
University of Hull,Pre-1992,Pre-1992 Other,England,https://libguides.hull.ac.uk/ai,html,,2026-02-16,yes,
Keele University,Pre-1992,Plate Glass,England,https://www.keele.ac.uk/policyzone/data/generativeaiineducationframework/,html,,,no,URL did not contain AI policy content
University of Sussex,Pre-1992,Plate Glass,England,https://www.sussex.ac.uk/skills-hub/writing-and-assessments/ai,html,,2026-02-16,yes,
University of East Anglia,Pre-1992,Plate Glass,England,https://assets.uea.ac.uk/f/185167/x/5558a0f812/generative-ai-policy-for-teaching-and-learning.pdf,pdf,,2026-02-16,yes,
University of York,Russell Group,Plate Glass,England,https://www.york.ac.uk/students/studying/assessment-and-examination/ai/,html,,2026-02-16,yes,
Lancaster University,Pre-1992,Plate Glass,England,https://portal.lancaster.ac.uk/ask/administration/policies-regulations/principles-for-the-educational-application-of-generative-ai-/,html,,,no,URL did not contain AI policy content
University of Essex,Pre-1992,Plate Glass,England,https://www.essex.ac.uk/student/academic-offences/artificial-intelligence,html,,,no,URL did not contain AI policy content
University of Warwick,Russell Group,Plate Glass,England,https://warwick.ac.uk/students/academic-essentials/academic-integrity/artificial-intelligence/,html,,2026-02-16,yes,
University of Kent,Pre-1992,Plate Glass,England,https://student.kent.ac.uk/studies/using-generative-ai-in-your-studies,html,,2026-02-16,yes,
University of Bath,Pre-1992,Former CAT,England,https://www.bath.ac.uk/campaigns/engaging-critically-with-genai-tools-for-your-work/,html,,2026-02-16,yes,
University of Surrey,Pre-1992,Former CAT,England,https://help.surrey.ac.uk/article/where-can-i-find-advice-about-using-artificial-intelligence-my-studies,html,,2026-02-16,yes,
Aston University,Pre-1992,Former CAT,England,https://www.aston.ac.uk/education/quality/a-z,html,,2026-02-16,yes,
Brunel University London,Pre-1992,Former CAT,England,https://students.brunel.ac.uk/campus-news/using-artificial-intelligence-in-your-studies,html,,,no,URL did not contain AI policy content
Loughborough University,Pre-1992,Former CAT,England,https://www.lboro.ac.uk/students/handbook/assessments/assessment-information/generative-ai/,html,,2026-02-16,yes,
City St George's University of London,Pre-1992,Former CAT,England,https://studenthub.citystgeorges.ac.uk/academic-resources/learning-and-study-support/online-learning-tools/using-generative-artificial-intelligence-ai-for-learning,html,,,no,URL did not contain AI policy content
University of Bradford,Pre-1992,Former CAT,England,https://www.bradford.ac.uk/academic-misconduct-appeals-and-student-complaints/academic-misconduct/Academic-Integrity-Policy-2024-25.pdf,pdf,,,no,URL did not contain AI policy content
University of Salford,Pre-1992,Former CAT,England,https://www.salford.ac.uk/skills/using-gen-ai-at-salford,html,,2026-02-16,yes,
University of Strathclyde,Pre-1992,Pre-1992 Other,Scotland,https://www.strath.ac.uk/professionalservices/educationenhancement/qualityassurance/useofgen-aiinlearningassessment/,html,,2026-02-16,yes,
Heriot-Watt University,Pre-1992,Pre-1992 Other,Scotland,https://lta.hw.ac.uk/wp-content/uploads/Student-guidance-on-Artificial-Intelligence-in-Learning-and-Teaching-AY23-24.pdf,pdf,,2026-02-16,yes,
University of Stirling,Pre-1992,Pre-1992 Other,Scotland,https://learnteach.stir.ac.uk/how-to/ai-assessment-scale/,html,,2026-02-16,yes,
